Key_Dataset;Key_Run;Key_Fold;Key_Scheme;Key_Scheme_options;Key_Scheme_version_ID;Date_time;Number_of_training_instances;Number_of_testing_instances;Number_correct;Number_incorrect;Number_unclassified;Percent_correct;Percent_incorrect;Percent_unclassified;Kappa_statistic;Mean_absolute_error;Root_mean_squared_error;Relative_absolute_error;Root_relative_squared_error;SF_prior_entropy;SF_scheme_entropy;SF_entropy_gain;SF_mean_prior_entropy;SF_mean_scheme_entropy;SF_mean_entropy_gain;KB_information;KB_mean_information;KB_relative_information;True_positive_rate;Num_true_positives;False_positive_rate;Num_false_positives;True_negative_rate;Num_true_negatives;False_negative_rate;Num_false_negatives;IR_precision;IR_recall;F_measure;Matthews_correlation;Area_under_ROC;Area_under_PRC;Weighted_avg_true_positive_rate;Weighted_avg_false_positive_rate;Weighted_avg_true_negative_rate;Weighted_avg_false_negative_rate;Weighted_avg_IR_precision;Weighted_avg_IR_recall;Weighted_avg_F_measure;Weighted_avg_matthews_correlation;Weighted_avg_area_under_ROC;Weighted_avg_area_under_PRC;Unweighted_macro_avg_F_measure;Unweighted_micro_avg_F_measure;Elapsed_Time_training;Elapsed_Time_testing;UserCPU_Time_training;UserCPU_Time_testing;UserCPU_Time_millis_training;UserCPU_Time_millis_testing;Serialized_Model_Size;Serialized_Train_Set_Size;Serialized_Test_Set_Size;Coverage_of_Test_Cases_By_Regions;Size_of_Predicted_Regions;Summary;measureExtraArcs;measureMissingArcs;measureReversedArcs;measureDivergence;measureBayesScore;measureBDeuScore;measureMDLScore;measureAICScore;measureEntropyScore
iris;2;1;weka.classifiers.bayes.BayesNet;'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5';7.46037E+17;2.02E+07;135;15;14;1;0;93.33333333;6.666666667;0;0.9;0.040104177;0.175208311;9.023439812;37.16729543;23.77443751;2.664980963;21.10945655;1.584962501;0.177665398;1.407297103;21.76807867;1.451205244;91.56085673;1;5;0;0;1;10;0;0;1;1;1;1;1;1;0.933333333;0.033333333;0.966666667;0.066666667;0.944444444;0.933333333;0.932659933;0.90627609;1;1;0.932659933;0.933333333;0;0;0;0;0;0;8162;10633;2353;100;35.55555556;?;0;0;0;0;-351.8830511;-391.1189535;-403.4647617;-370.0541018;-347.0541018
iris;2;2;weka.classifiers.bayes.BayesNet;'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5';7.46037E+17;2.02E+07;135;15;12;3;0;80;20;0;0.7;0.139704469;0.333337171;31.43350555;70.71149218;23.77443751;16.32913924;7.445298272;1.584962501;1.088609283;0.496353218;17.16529328;1.144352885;72.20062839;1;5;0;0;1;10;0;0;1;1;1;1;1;1;0.8;0.1;0.9;0.2;0.805555556;0.8;0.797979798;0.703450687;0.96;0.912619048;0.797979798;0.8;0;0;0;0;0;0;8164;10633;2353;86.66666667;40;?;0;0;0;0;-361.4262972;-398.8987102;-411.8827034;-378.4720435;-355.4720435
iris;2;3;weka.classifiers.bayes.BayesNet;'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5';7.46037E+17;2.02E+07;135;15;13;2;0;86.66666667;13.33333333;0;0.8;0.064461798;0.212045593;14.50390451;44.98166292;23.77443751;3.686797643;20.08763987;1.584962501;0.24578651;1.339175991;20.45460652;1.363640435;86.03613235;1;5;0;0;1;10;0;0;1;1;1;1;1;1;0.866666667;0.066666667;0.933333333;0.133333333;0.866666667;0.866666667;0.866666667;0.8;0.986666667;0.977777778;0.866666667;0.866666667;0;0;0;0;0;0;8164;10633;2353;100;37.77777778;?;0;0;0;0;-370.8475525;-408.3199656;-420.1628963;-386.7522363;-363.7522363
iris;2;4;weka.classifiers.bayes.BayesNet;'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5';7.46037E+17;2.02E+07;135;15;15;0;0;100;0;0;1;0.002100386;0.004706485;0.472586809;0.9983962;23.77443751;0.06854474;23.70589277;1.584962501;0.004569649;1.580392851;23.70589277;1.580392851;99.71168723;1;5;0;0;1;10;0;0;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;8227;10633;2353;100;33.33333333;?;0;0;0;0;-392.5545955;-438.695242;-450.9757978;-413.2072257;-387.2072257
iris;2;5;weka.classifiers.bayes.BayesNet;'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5';7.46037E+17;2.02E+07;135;15;15;0;0;100;0;0;1;0.00962874;0.022101304;2.166466587;4.688394533;23.77443751;0.320818049;23.45361946;1.584962501;0.02138787;1.563574631;23.45361946;1.563574631;98.65057565;1;5;0;0;1;10;0;0;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;8227;10633;2353;100;37.77777778;?;0;0;0;0;-418.9911625;-465.1318089;-476.2746717;-438.5060996;-412.5060996
iris;2;6;weka.classifiers.bayes.BayesNet;'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5';7.46037E+17;2.02E+07;135;15;14;1;0;93.33333333;6.666666667;0;0.9;0.045993844;0.210705298;10.34861483;44.69734351;23.77443751;10.62374;13.15069751;1.584962501;0.708249333;0.876713167;21.55403811;1.436935874;90.66055971;1;5;0;0;1;10;0;0;1;1;1;1;1;1;0.933333333;0.033333333;0.966666667;0.066666667;0.944444444;0.933333333;0.932659933;0.90627609;0.94;0.885858586;0.932659933;0.933333333;0;0;0;0;0;0;8166;10633;2353;93.33333333;33.33333333;?;0;0;0;0;-382.2929756;-419.7653886;-431.4087651;-397.9981051;-374.9981051
iris;2;7;weka.classifiers.bayes.BayesNet;'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5';7.46037E+17;2.02E+07;135;15;15;0;0;100;0;0;1;0.004554747;0.013224974;1.024818139;2.805440587;23.77443751;0.15084077;23.62359674;1.584962501;0.010056051;1.574906449;23.62359674;1.574906449;99.3655338;1;5;0;0;1;10;0;0;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;8101;10633;2353;100;35.55555556;?;0;0;0;0;-319.8025974;-350.3702665;-363.2248927;-334.1721449;-314.1721449
iris;2;8;weka.classifiers.bayes.BayesNet;'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5';7.46037E+17;2.02E+07;135;15;14;1;0;93.33333333;6.666666667;0;0.9;0.045195134;0.210809133;10.16890514;44.7193702;23.77443751;14.64621127;9.128226243;1.584962501;0.976414085;0.608548416;21.58011768;1.438674512;90.77025552;1;5;0;0;1;10;0;0;1;1;1;1;1;1;0.933333333;0.033333333;0.966666667;0.066666667;0.944444444;0.933333333;0.932659933;0.90627609;0.933333333;0.874747475;0.932659933;0.933333333;0;0;0;0;0;0;8164;10633;2353;93.33333333;33.33333333;?;0;0;0;0;-376.0357534;-413.5081665;-425.7973838;-392.3867238;-369.3867238
iris;2;9;weka.classifiers.bayes.BayesNet;'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5';7.46037E+17;2.02E+07;135;15;13;2;0;86.66666667;13.33333333;0;0.8;0.08169369;0.230122066;18.38108018;48.81626191;23.77443751;4.560683547;19.21375396;1.584962501;0.30404557;1.280916931;19.82008496;1.321338997;83.3672088;1;5;0;0;1;10;0;0;1;1;1;1;1;1;0.866666667;0.066666667;0.933333333;0.133333333;0.866666667;0.866666667;0.866666667;0.8;0.98;0.956507937;0.866666667;0.866666667;0;0;0;0;0;0;8164;10633;2353;100;40;?;0;0;0;0;-367.6700188;-405.1424319;-417.2357433;-383.8250833;-360.8250833
iris;2;10;weka.classifiers.bayes.BayesNet;'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5';7.46037E+17;2.02E+07;135;15;15;0;0;100;0;0;1;0.002083446;0.004312906;0.468775406;0.914905558;23.77443751;0.067934551;23.70650296;1.584962501;0.00452897;1.580433531;23.70650296;1.580433531;99.7142538;1;5;0;0;1;10;0;0;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;8164;10633;2353;100;33.33333333;?;0;0;0;0;-374.7121091;-412.1845222;-424.0277978;-390.6171379;-367.6171379
