Key_Dataset;Key_Run;Key_Fold;Key_Scheme;Key_Scheme_options;Key_Scheme_version_ID;Date_time;Number_of_training_instances;Number_of_testing_instances;Number_correct;Number_incorrect;Number_unclassified;Percent_correct;Percent_incorrect;Percent_unclassified;Kappa_statistic;Mean_absolute_error;Root_mean_squared_error;Relative_absolute_error;Root_relative_squared_error;SF_prior_entropy;SF_scheme_entropy;SF_entropy_gain;SF_mean_prior_entropy;SF_mean_scheme_entropy;SF_mean_entropy_gain;KB_information;KB_mean_information;KB_relative_information;True_positive_rate;Num_true_positives;False_positive_rate;Num_false_positives;True_negative_rate;Num_true_negatives;False_negative_rate;Num_false_negatives;IR_precision;IR_recall;F_measure;Matthews_correlation;Area_under_ROC;Area_under_PRC;Weighted_avg_true_positive_rate;Weighted_avg_false_positive_rate;Weighted_avg_true_negative_rate;Weighted_avg_false_negative_rate;Weighted_avg_IR_precision;Weighted_avg_IR_recall;Weighted_avg_F_measure;Weighted_avg_matthews_correlation;Weighted_avg_area_under_ROC;Weighted_avg_area_under_PRC;Unweighted_macro_avg_F_measure;Unweighted_micro_avg_F_measure;Elapsed_Time_training;Elapsed_Time_testing;UserCPU_Time_training;UserCPU_Time_testing;UserCPU_Time_millis_training;UserCPU_Time_millis_testing;Serialized_Model_Size;Serialized_Train_Set_Size;Serialized_Test_Set_Size;Coverage_of_Test_Cases_By_Regions;Size_of_Predicted_Regions;Summary;measureTreeSize;measureNumLeaves;measureNumRules
iris;2;1;weka.classifiers.trees.J48;'-C 0.25 -M 2';-2.17733E+17;2.02E+07;135;15;14;1;0;93.33333333;6.666666667;0;0.9;0.052717653;0.206549666;11.86147186;43.81580084;23.77443751;5.764327611;18.0101099;1.584962501;0.384288507;1.200673993;21.33278338;1.422185559;89.72991841;1;5;0;0;1;10;0;0;1;1;1;1;1;1;0.933333333;0.033333333;0.966666667;0.066666667;0.944444444;0.933333333;0.932659933;0.90627609;0.966666667;0.911111111;0.932659933;0.933333333;0;0;0;0;0;0;4236;10633;2353;93.33333333;33.33333333;'Number of leaves: 4\nSize of the tree: 7\n';7;4;4
iris;2;2;weka.classifiers.trees.J48;'-C 0.25 -M 2';-2.17733E+17;2.02E+07;135;15;13;2;0;86.66666667;13.33333333;0;0.8;0.091989664;0.294859103;20.69767442;62.54906133;23.77443751;1079.562054;-1055.787617;1.584962501;71.97080361;-70.3858411;19.33274551;1.288849701;81.31736241;1;5;0;0;1;10;0;0;1;1;1;1;1;1;0.866666667;0.066666667;0.933333333;0.133333333;0.904761905;0.866666667;0.861111111;0.821011909;0.896666667;0.812698413;0.861111111;0.866666667;0;0;0;0;0;0;4236;10633;2353;86.66666667;33.33333333;'Number of leaves: 4\nSize of the tree: 7\n';7;4;4
iris;2;3;weka.classifiers.trees.J48;'-C 0.25 -M 2';-2.17733E+17;2.02E+07;135;15;14;1;0;93.33333333;6.666666667;0;0.9;0.067954911;0.211023208;15.28985507;44.76478234;23.77443751;4.912750761;18.86168675;1.584962501;0.327516717;1.257445783;20.7276584;1.381843894;87.18464273;1;5;0;0;1;10;0;0;1;1;1;1;1;1;0.933333333;0.033333333;0.966666667;0.066666667;0.944444444;0.933333333;0.932659933;0.90627609;0.96;0.902222222;0.932659933;0.933333333;0;0;0;0;0;0;4236;10633;2353;100;46.66666667;'Number of leaves: 4\nSize of the tree: 7\n';7;4;4
iris;2;4;weka.classifiers.trees.J48;'-C 0.25 -M 2';-2.17733E+17;2.02E+07;135;15;15;0;0;100;0;0;1;0.010588013;0.01588652;2.382302893;3.370039881;23.77443751;0.347856208;23.4265813;1.584962501;0.023190414;1.561772087;23.4265813;1.561772087;98.53684779;1;5;0;0;1;10;0;0;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;4640;10633;2353;100;33.33333333;'Number of leaves: 5\nSize of the tree: 9\n';9;5;5
iris;2;5;weka.classifiers.trees.J48;'-C 0.25 -M 2';-2.17733E+17;2.02E+07;135;15;15;0;0;100;0;0;1;0.010588013;0.01588652;2.382302893;3.370039881;23.77443751;0.347856208;23.4265813;1.584962501;0.023190414;1.561772087;23.4265813;1.561772087;98.53684779;1;5;0;0;1;10;0;0;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;4640;10633;2353;100;33.33333333;'Number of leaves: 5\nSize of the tree: 9\n';9;5;5
iris;2;6;weka.classifiers.trees.J48;'-C 0.25 -M 2';-2.17733E+17;2.02E+07;135;15;13;2;0;86.66666667;13.33333333;0;0.8;0.092929293;0.296637105;20.90909091;62.92623256;23.77443751;2148.132667;-2124.35823;1.584962501;143.2088445;-141.623882;19.30192005;1.28679467;81.18770441;0.8;4;0;0;1;10;0.2;1;1;0.8;0.888888889;0.852802865;0.9;0.866666667;0.866666667;0.066666667;0.933333333;0.133333333;0.877777778;0.866666667;0.865993266;0.80627609;0.9;0.802222222;0.865993266;0.866666667;0;0;0;0;0;0;4640;10633;2353;86.66666667;33.33333333;'Number of leaves: 5\nSize of the tree: 9\n';9;5;5
iris;2;7;weka.classifiers.trees.J48;'-C 0.25 -M 2';-2.17733E+17;2.02E+07;135;15;15;0;0;100;0;0;1;0.010588013;0.01588652;2.382302893;3.370039881;23.77443751;0.347856208;23.4265813;1.584962501;0.023190414;1.561772087;23.4265813;1.561772087;98.53684779;1;5;0;0;1;10;0;0;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;4640;10633;2353;100;33.33333333;'Number of leaves: 5\nSize of the tree: 9\n';9;5;5
iris;2;8;weka.classifiers.trees.J48;'-C 0.25 -M 2';-2.17733E+17;2.02E+07;135;15;14;1;0;93.33333333;6.666666667;0;0.9;0.048677249;0.211057399;10.95238095;44.77203533;23.77443751;1074.139062;-1050.364624;1.584962501;71.60927078;-70.02430828;21.46545084;1.431030056;90.28794404;1;5;0;0;1;10;0;0;1;1;1;1;1;1;0.933333333;0.033333333;0.966666667;0.066666667;0.944444444;0.933333333;0.932659933;0.90627609;0.95;0.9;0.932659933;0.933333333;0;0;0;0;0;0;4640;10633;2353;93.33333333;33.33333333;'Number of leaves: 5\nSize of the tree: 9\n';9;5;5
iris;2;9;weka.classifiers.trees.J48;'-C 0.25 -M 2';-2.17733E+17;2.02E+07;135;15;13;2;0;86.66666667;13.33333333;0;0.8;0.100500302;0.280857658;22.61256804;59.57890637;23.77443751;8.516880863;15.25755665;1.584962501;0.567792058;1.017170443;19.04727381;1.269818254;80.11661182;1;5;0;0;1;10;0;0;1;1;1;1;1;1;0.866666667;0.066666667;0.933333333;0.133333333;0.904761905;0.866666667;0.861111111;0.821011909;0.933333333;0.838095238;0.861111111;0.866666667;0;0;0;0;0;0;3832;10633;2353;100;48.88888889;'Number of leaves: 3\nSize of the tree: 5\n';5;3;3
iris;2;10;weka.classifiers.trees.J48;'-C 0.25 -M 2';-2.17733E+17;2.02E+07;135;15;15;0;0;100;0;0;1;0.010588013;0.01588652;2.382302893;3.370039881;23.77443751;0.347856208;23.4265813;1.584962501;0.023190414;1.561772087;23.4265813;1.561772087;98.53684779;1;5;0;0;1;10;0;0;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;4640;10633;2353;100;33.33333333;'Number of leaves: 5\nSize of the tree: 9\n';9;5;5
